Non-industry income and expenditure/revenue,Interest-bearing debt interest rate,Net Value Per Share (A),Persistent EPS in the Last Four Seasons,Net Value Growth Rate,Interest Expense Ratio,Total debt/Total net worth,Borrowing dependency,Net profit before tax/Paid-in capital,Fixed Assets Turnover Frequency,Cash/Total Assets,Net Income to Total Assets,Net Income to Stockholder's Equity,Degree of Financial Leverage (DFL),Equity to Liability,Bankrupt?
0.302646434,0.000725073,0.147949939,0.169140588,0.000326977,0.629951302,0.021265924,0.390284354,0.137757334,0.000116501,0.004094406,0.716845343,0.827890214,0.026600631,0.016468741,bankrupt
0.30355643,0.000647065,0.182251064,0.208943935,0.00044304,0.635172463,0.012502394,0.37676002,0.168961617,719000000.0,0.014947727,0.795297136,0.839969268,0.26457682,0.020794306,bankrupt
0.302035177,0.000790079,0.17791075,0.180580505,0.000396425,0.629631443,0.021247686,0.37909292,0.148035593,2650000000.0,0.000990944,0.774669697,0.836774309,0.02655472,0.016474114,bankrupt
0.303349536,0.000449045,0.154186507,0.193722227,0.000382426,0.630228353,0.009572402,0.379742688,0.147560516,9150000000.0,0.018850625,0.739554525,0.834697107,0.026696634,0.023982332,bankrupt
0.303474978,0.000686069,0.167502423,0.212536636,0.000438948,0.636054986,0.0051496,0.375025443,0.167460976,0.000293521,0.014160974,0.795015873,0.839972746,0.024751848,0.035490201,bankrupt
0.303115813,0.000716072,0.155577093,0.174435095,0.000351782,0.630183833,0.014213152,0.381448187,0.137825202,9300000000.0,0.002645226,0.710420495,0.829938957,0.026675366,0.019534478,bankrupt
0.302814415,0.000805081,0.158821794,0.161482462,0.000351757,0.629987945,0.024441222,0.384998982,0.127939069,0.000145248,0.022988598,0.736619098,0.829979764,0.026622298,0.015663075,alive
0.303544587,0.000630063,0.176983692,0.225205635,0.00045105,0.631379022,0.005278181,0.374219105,0.17951889,0.000518201,0.014615913,0.815350392,0.84145944,0.027030517,0.034888556,alive
0.303583501,0.000737074,0.184189457,0.218398412,0.000452722,0.630914987,0.002266116,0.370253398,0.172158962,0.000245862,0.145189218,0.80364729,0.840486633,0.02689063,0.065826497,alive
0.303482954,0.000672067,0.177447221,0.217831143,0.000444912,0.632188258,0.006354244,0.37450876,0.175657944,0.000738342,0.008772791,0.804194657,0.840688177,0.027243015,0.030800865,alive
0.303758974,0.000549055,0.182925288,0.21896568,0.000448555,0.631236901,0.004932564,0.374179962,0.17761104,0.000174751,0.002056836,0.814110614,0.841337129,0.026971091,0.036571691,alive
0.303604528,0.00070307,0.173865408,0.20468942,0.000455068,0.632095793,0.004292397,0.373113046,0.171525526,0.000106666,0.020542229,0.804886953,0.840649732,0.027390858,0.04038102,alive
0.303434856,0.000576058,0.169398677,0.219343859,0.000442965,0.632377639,0.008734349,0.377306898,0.173290099,0.000214089,0.058218001,0.803260161,0.840702416,0.027479725,0.02528172,alive
0.303491655,0.000709071,0.171547765,0.212914815,0.000442092,0.640422734,0.005155072,0.37315107,0.167860644,0.00017929,0.074169857,0.794157853,0.839910497,0.02499974,0.035464109,alive
0.30356634,0.000910091,0.180565505,0.226434717,0.000473734,0.631670799,0.003983257,0.373692357,0.177920217,9460000000.0,0.021194017,0.819715357,0.84162368,0.026896287,0.042646425,alive
0.303461926,0.000479048,0.174328937,0.223787463,0.000469242,0.631097177,0.004611569,0.373544733,0.179828067,0.000305625,0.003766824,0.815418714,0.84139905,0.026897241,0.038353747,alive
0.304319474,0.000523052,0.183852345,0.220194762,0.000458562,0.631239298,0.002397432,0.372267566,0.175167785,5600000000.0,0.052866701,0.810421135,0.840888957,0.027002799,0.06294023,alive
0.303558606,0.000637064,0.189541107,0.233052851,0.000471763,0.631059506,0.003323941,0.372724975,0.188288968,0.000228462,0.013907171,0.826642041,0.841983322,0.026907808,0.048821928,alive
0.303522834,0.000619062,0.175129577,0.220005673,0.000461032,0.632451953,0.008354991,0.378709322,0.175062213,0.000199715,0.012801285,0.806263915,0.840954676,0.027637049,0.025953223,alive
0.303467002,0.000550055,0.176478025,0.217452964,0.00044556,0.631267722,0.003253723,0.371230845,0.173531408,0.000136926,0.093503139,0.802551849,0.840455976,0.026924264,0.049622455,alive
0.303553772,0.0,0.189119717,0.219343859,0.00044561,0.630623553,0.004424625,0.369637181,0.17520549,9000000000.0,0.031924086,0.804639012,0.840638613,0.026793778,0.039507005,alive
0.303530569,0.000775078,0.185453626,0.225394724,0.000466397,0.630982795,0.004728294,0.371209596,0.180665108,0.000309408,0.139413215,0.814011883,0.84131147,0.02688993,0.037680086,alive
0.303432922,0.000753075,0.176983692,0.223220195,0.000466971,0.63223723,0.008955945,0.377012769,0.176494985,0.000102127,0.038272303,0.808976427,0.841234474,0.02756541,0.024914605,alive
0.303391592,0.000645065,0.184400152,0.21896568,0.00044319,0.634338913,0.017036449,0.387275964,0.172860267,0.00010591,0.20786639,0.798103629,0.840325896,0.029363911,0.018005125,alive
0.303456125,0.000762076,0.172896212,0.221896568,0.000457539,0.633345776,0.017411248,0.388057698,0.177309404,0.000186855,0.017860839,0.803444645,0.841046745,0.028206124,0.017839201,alive
0.303016717,0.000739074,0.161307994,0.203554883,0.000397498,0.628951316,0.008984215,0.377159275,0.159678757,6200000000.0,0.014953766,0.772908885,0.837925614,0.026415313,0.024868729,alive
0.303466277,0.000691069,0.179217058,0.224260187,0.00045417,0.631321489,0.004138283,0.372166913,0.178696931,953000000.0,0.026006422,0.812973644,0.841187895,0.026924486,0.041464966,alive
0.303543379,0.001063106,0.182630315,0.228420157,0.000458861,0.630964987,0.001275773,0.369875392,0.184986049,0.000160378,0.106296004,0.830176405,0.841854182,0.02685216,0.104842365,alive
0.303694924,0.000822082,0.177952889,0.220572941,0.000460982,0.631503678,0.003978698,0.3719712,0.177490385,0.0001339,0.007991229,0.812100285,0.841115993,0.027066721,0.0426819,alive
0.30325769,0.000842084,0.156209178,0.177838707,0.000417986,0.629275284,0.025951358,0.392590414,0.138624538,0.000384301,0.008266417,0.750430839,0.831976032,0.026471873,0.015348595,bankrupt
0.303477395,0.000943094,0.145505878,0.202514891,0.000417811,0.64852365,0.030692419,0.396528161,0.164565267,4840000000.0,0.011060914,0.787081562,0.838258502,0.024885858,0.014561571,bankrupt
0.303414553,0.000827083,0.158695377,0.21102392,0.000444213,0.635145409,0.021491168,0.38402489,0.16899178,0.000146004,0.02307052,0.796022666,0.840052355,0.174090904,0.016403931,alive
0.303547246,0.000672067,0.177025831,0.225394724,0.000450302,0.631549568,0.005973062,0.37558015,0.178206772,0.000500045,0.006430036,0.814102144,0.841431598,0.027118794,0.032085741,alive
0.303621931,0.000728073,0.185875016,0.218209322,0.000452099,0.631230737,0.002449411,0.370535225,0.172091094,0.000228462,0.1099419,0.802923478,0.840451101,0.027003182,0.061886603,alive
0.303474978,0.000686069,0.174033964,0.218682046,0.000433258,0.63249476,0.006609581,0.37531398,0.172656662,0.000810209,0.009640278,0.803065744,0.840608632,0.027676969,0.030023557,alive
0.303743022,0.00059606,0.180186254,0.213576629,0.000451699,0.631589636,0.006472793,0.376271296,0.17669859,0.000170212,0.001818174,0.811257383,0.841252149,0.027114608,0.030431234,alive
0.303212493,0.000588059,0.166111837,0.209794838,0.000415565,0.628333174,0.008127012,0.377688259,0.163471835,0.000105153,0.034649948,0.784384879,0.839028885,0.026385277,0.026387357,alive
0.303448633,0.000612061,0.167502423,0.2149948,0.000434106,0.63401289,0.009039842,0.377008296,0.170778976,0.000167186,0.042104213,0.797743521,0.840205746,0.028425545,0.024780878,alive
0.303508332,0.000793079,0.172179849,0.215372979,0.000448181,0.633241325,0.004358967,0.372061787,0.169662921,0.000186855,0.055163022,0.798173898,0.840192796,0.029087604,0.03993517,alive
0.303583742,0.00079708,0.177110109,0.212253002,0.000443315,0.632810167,0.003403277,0.373058246,0.17031144,8090000000.0,0.025434432,0.80137157,0.840385757,0.028872766,0.047959942,alive
0.303441623,0.000494049,0.174876744,0.221612934,0.000463228,0.631229024,0.006145414,0.374405871,0.182128045,0.000231488,0.004233507,0.815731085,0.841573617,0.026907691,0.031485359,alive
0.30440576,0.000560056,0.185074375,0.220667486,0.000461531,0.631236901,0.002790469,0.372736159,0.175680567,6660000000.0,0.054515238,0.811426301,0.840978536,0.027016825,0.055857782,alive
0.303528877,0.000593059,0.186970629,0.225489269,0.000447207,0.631308475,0.003795402,0.373331126,0.18026544,0.000283687,0.049665261,0.81356776,0.841197467,0.0269856,0.044195081,alive
0.303502531,0.000654065,0.178964224,0.228325612,0.000464077,0.631594088,0.007982929,0.377794503,0.182022472,0.000214089,0.018552171,0.816256592,0.841802241,0.027130516,0.026673956,alive
0.303489721,0.000566057,0.174413215,0.222842016,0.000451799,0.631025602,0.004079009,0.371372877,0.176525149,0.000146761,0.084808266,0.807572629,0.84082036,0.026877363,0.041905813,alive
0.303528877,0.0,0.187097046,0.220572941,0.000448929,0.630616704,0.004282366,0.369637181,0.175929417,8930000000.0,0.008047887,0.806666538,0.840770515,0.026792271,0.040449897,alive
0.303491172,0.001071107,0.185200792,0.222842016,0.000456316,0.630916357,0.004653517,0.370670547,0.181652967,0.000368414,0.13360494,0.813580403,0.841274522,0.026862286,0.038105212,alive
0.303395701,0.000750075,0.178753529,0.225772903,0.000453596,0.631849564,0.008422473,0.375735602,0.180122163,0.000108179,0.051390454,0.809900026,0.84128167,0.027169552,0.025829305,alive
0.303480295,0.000655066,0.185411487,0.219532949,0.000449154,0.63399611,0.0192287,0.388924428,0.174368449,8620000000.0,0.09986268,0.799841684,0.840598891,0.028758633,0.017125137,alive
0.303439448,0.00080108,0.172516961,0.218492956,0.000455318,0.633433789,0.015091329,0.38553915,0.175152703,0.000153569,0.008639337,0.802637951,0.840860319,0.028520302,0.01899811,alive
0.30315666,0.000676068,0.159538157,0.212442091,0.000432809,0.617627841,0.009931697,0.378099816,0.165794435,6430000000.0,0.014188683,0.78812564,0.839285132,0.02574873,0.023491356,alive
0.303420112,0.00079808,0.179427753,0.223882008,0.000445885,0.631300941,0.004109102,0.372056195,0.179413317,8850000000.0,0.033585921,0.811328898,0.841074766,0.026953884,0.041680209,alive
0.303444765,0.000943094,0.178669251,0.221612934,0.000461606,0.631138615,0.00194968,0.371134666,0.177550713,0.0001513,0.114842024,0.812826429,0.840991944,0.026911796,0.074265998,alive
0.303671721,0.000852085,0.179385614,0.221896568,0.000459909,0.631356077,0.00426048,0.371953306,0.177354649,0.000167943,0.00884665,0.809661363,0.840973026,0.026991378,0.040601054,alive
0.303051763,0.000726073,0.156799124,0.200151272,0.000401067,0.625067807,0.022234381,0.392383517,0.157016816,552000000.0,0.005559438,0.777094466,0.837052996,0.026050062,0.016198909,bankrupt
0.303501323,0.000558056,0.148202773,0.206013047,0.000401291,0.638738853,0.034784195,0.405124999,0.167310158,0.000278391,0.020326853,0.791982245,0.839162226,0.022761802,0.014054216,bankrupt
0.302759791,0.00039904,0.120011799,0.084239387,0.000154243,0.630522527,0.126572374,0.262035237,0.072453058,0.000699004,0.210915212,0.525650952,1.0,0.026763138,0.00917817,bankrupt
0.303466035,0.000582058,0.151531752,0.175002364,0.000350634,0.629853358,0.026809473,0.391787431,0.140351406,0.000228462,0.04992772,0.746585997,0.831081516,0.026590329,0.015185546,bankrupt
0.303450808,0.000708071,0.156082761,0.215656613,0.00044883,0.634265626,0.019753965,0.38224446,0.169836362,0.000146004,0.03029461,0.797585081,0.840279753,0.032352933,0.016943025,alive
